Texto;Etiquetado
@cesarcamacho245 sory no tuve clases de la pta 2  a la 7, no era mi ruta compa;Neutro
@danotov 😢;Neutro
@danotov;Neutro
Como extraño caminar por ese lugar ❤️;Positivo
Hermoso! Cuantos recuerdos!;Positivo
@pame.tr, los chikis rumbo a jugar basketball 🤣🤭;Positivo
@mariley_hidalgo14 cuando venias con el plan fuga para Mate 😂🤣;Positivo
De la Biblioteca Central hacia la puerta de Av. Venezuela 🤗☺;Neutro
@mau24yangaly caminar picados por ahi despues de las copas de vino y pisco por el aniversario de la escuela jajajaja;Neutro
@herostrip_ 😢;Neutro
��😔;Neutro
Un monton 😢❤️;Positivo
Al salir a correr por las noches 😊;Positivo
Uyy muchas veces, lindos recuerdos de 🤗🤗🤗;Positivo
Hermosos recuerdos!!;Positivo
Ufff...;Positivo
X2😍;Positivo
Excelente toma 🙌;Positivo
Las veces camino a central :');Positivo
@angel_huar lo que acabo de recordar es cuanto me dolian los pies al caminar sobre esas piedras xddddddd pero te creo xd;Neutro
@kellserwho La U de noche, en general, es bonita xd No solo es caminar por esas piedras or xd;Positivo
@angel_huar pero eso es todo lo que he conocido *tono dramatico*;Neutro
@kellserwho OE Si AAAAAAA y emcima ahi entrenaba futbol en la seleccion de futbol de la U 😞;Neutro
@angel_huar lo se y me duele por ti. Aparte de que se ve que era bonito al atardecer, estoy AMANDO la captura 💕😂;Positivo
@kellserwho Debias verlo en vivo, era germoso pipipipi;Positivo
@angel_huar la nostalgia para ti :(;Positivo
Hermosos recuerdos amigos San Marquinos;Positivo
@martinpaz05 los guardias se chuparon el trago, esos cdsmr xd;Negativo
"@wlozada4 @patrickcastanedasalcedo @sergiorubenalfaromauricio  @adielmuchaespinoza  fue en ese lugar donde  el drone nos vio, luego llego la moto y nos quitaron el trago en la ultima verbena csm :""v";Neutro
Uffffff;Positivo
En ese parque me comia a mi flaca en ese entonces xdxdd;Neutro
Mi primer megachape fue por ahi, creo que acaba de cumplir 17 🔥;Neutro
@edith_tineo @lisett_ovalle @pierogallardo_2909 😢😍;Positivo
Yo los he recorrido desde 1969 a 1975.👏👏;Positivo
Hacia la puerta 5..😮;Neutro
@jaimitus4 ya tocara nuestro regreso con sus che 😔;Positivo
@jaimitus4 @pierobuhytron Aquellos tiempos 😭;Positivo
@emilyrubydg @pierobuhytron 😭😭😭;Neutro
No cambio nada dsd 2002 😞🙏;Neutro
��💙;Positivo
La mejor etapa de mi vida, amigos;Positivo
La mejor etapa de mi vida. epoca universitaria, amigos ... nostalgia san marquina...🥰🥰🥰;Positivo
San Marcos❤️🍃💫;Positivo
@andersonxdxd 🙃;Neutro
@fernandoroque1607 ☹️;Neutro
@fernandoroque1607 uwu;Neutro
��;Positivo
��🏾❤️;Positivo
@paulofd16 😔;Neutro
@a_velasquez11 ji💕;Positivo
@brendaiglesias_ <3;Positivo
@bco_bryan_calderon 😭;Neutro
��;Neutro
��‍♀️;Positivo
@adriana._.10 🤗;Positivo
De la biblioteca a la huaca. #QueRecuerdos! 🙌 Atte. Un egresado;Positivo
@carlos.sixtynine jajaja despues de estudiar en la central diras xd;Positivo
@scott_diaz20  despues de tropical 😢;Neutro
@liliplus0805 si muchos ❤️, tambien a la derecha =p;Positivo
@kieldbq jajajajaja ramita 😂😘😘;Positivo
@kieldbq ❤️;Positivo
La vereda de los gemidos😅;Neutro
@carlosanibale ❤️;Positivo
@diegovillacaqui jajajaja pendeivis te crees 😆😆😆 y tu bien que conoces esos lares xd;Neutro
@alecuellardelacruz derrepente desaparecias 🤭🤭🤭;Neutro
@stibentc mucha nostalgia :'( ❤️;Positivo
@kellyvico.pt @esther.osco :(;Neutro
��;Neutro
El viento por esa zona lo mejor...y recuerdos llegan a la mente con personas especiales.;Positivo
�� Nostalgia activandose en 3, 2, 1...;Positivo
@claudia.echevarriaquispe jajajajajajajaja es una nenita mata arboles;Neutro
@scarletangiecc 😂😂😂😂 la foto que le tomaste ese dia necesita salir a la luz;Neutro
@mariafenaveda 😂😂 lo voy a exponer @alexis_arohillca no se defiende lo indefendible;Neutro
@claudia.echevarriaquispe oeeeeeeeee 🤧🤧🤧🤧🤧🤧🤧;Positivo
@claudia.echevarriaquispe ❤️los dias con lluvia eran los mejores;Positivo
@claudia.echevarriaquispe conversando de la vida 💙;Positivo
@claudia.echevarriaquispe jajajaja oye te olvidaste de @alexis_arohillca;Neutro
@scarletangiecc  es que no nos hablabamos por esos tiempos xD;Neutro
@claudia.echevarriaquispe ahora menos 😒;Negativo
@alexis_arohillca ay ya se resintio ya 😑;Negativo
@scarletangiecc @mariafenaveda @daniela.orieta @pan_con_pollo828  saliendo de danza😢;Positivo
Hace 15 años atras habian mas plantas en ese jardin 🌴 y bancas para sentarse como estara ahora?;Positivo
@andresxvre JAJAJA ya peeeer;Neutro
Cuando salia de biblioteca todos los dias;Neutro
��😭😭🤧 extraño la u csm;Positivo
Road to huaca uwu;Neutro
@angi_3098 tantas veces tropezando xd;Neutro
@aguinaga1703 jajajajajjaja las piedras y mis botitas no ayudaban XD;Neutro
Jajajaja xd no, tu no sabes caminar xd;Neutro
@aguinaga1703 estraño ciudad😭, tantas veces caminando por ahi;Neutro
@angi_3098 😭;Neutro
Recuerdos cuando sali de pito xd;Neutro
@esperanzaac9 x2 uwu;Neutro
@josecarlos0903 vi esto y me dio frio uwu ❤️;Neutro
@jaz_gonzalesvi 🥺;Neutro
@mangelpaucar 😭😭;Neutro
@monicacutexd esos tiempos 😪;Neutro
@gabii_1799  jajajaja cuando decia ya estoy por la biblio pero estaba por ahi;Neutro
@nzero666 jsjsjs;Neutro
@esperanza13valencia que recuerdos;Positivo
@alexandra_27.37 era rutina de todos los dias🌳☹️;Neutro
Duele los pies al caminar en esa vereda de piedras ,-,;Negativo
@spider.solidario y en la huaca? xd;Neutro
@antonzoliv en esa cancha me hice hombre;Neutro
@michelle.tg7 😢;Neutro
@douglashuaman cuando saliamos juntos rumbo a la P1 😭😥😥;Positivo
Tantas veces de noche y en soledad o con musica. Que tiempos :);Positivo
@frankdominguezchenguayen  jajajaja;Positivo
Alaaa💖;Positivo
@eer.24 ❤️a mi tambien me trae muchos recuerdos ajajaj;Positivo
@ruth_29_15 esa risa, picaronaa 🔥🔥🔥🔥;Positivo
@missruth_23 @ruth_29_15 , recorde que siempre pasabamos por ahi, en las salidas o para ir al comedor, *la famosa curva* 🥺🥺🥺🥺😭😭😭;Positivo
@gh.marisol ou, que recuerdos... Grandes caminatas 🤧;Positivo
@kathyale13 camino a la biblioteca todas las noches 😭😭;Positivo
@dianamelissa14  cuando saliamos en las noches de la central o de mecanica de fluidos 😄;Positivo
Cuando iba a los ensayos de danza en el rectorado ❤️;Positivo
¡Que tiempos!;Positivo
Si un monton de veces!!;Positivo
Uff 😪;Positivo
@luzcastro0191 😄😋;Positivo
"Mi libro ""El eterno sendero de los pensamientos"" esta inspirado en este camino.";Neutro
��;Positivo
��😢como se extraña caminar cuando no hay sol por ahi 😢;Positivo
Que nostalgia ❤️;Positivo
��😭;Neutro
@jroqueb95 @jim.porras @juan_mego vuelta a toda la u xd;Neutro
Muchas veces 😭;Neutro
Muchas veces ❤️❤️✨;Positivo
Que recuerdos 😢... Los mejores 5 años de mi vida;Positivo
Como olvidar ese trayecto 😢 ...;Positivo
Te extraño 😭;Positivo
@rossemetl ni me lo digas :c ese bosque trae recuerdos 🤧😢;Positivo
@jeikoo.05 :c;Neutro
Que nostalgia 😭;Positivo
@juan_diezynueve ufff cada centimetro tiene un pedazo de la planta de mi zapatillas;Positivo
@tinyokami cuantas papi 😅;Neutro
Usa este comentario como 'me entristece'.;Neutro
��😞😞😞;Neutro
@dianasofiarevilla 😢😢😢😢 tantas vueltas :'v;Neutro
@johanny.yare 😭;Neutro
@paulfernando296 😊 recuerdos 😍;Positivo
@poolmanko brom :( de noche yendo a la plaza uu tkm brom los extra;Positivo
@rincon.verde.2001, cuando estabamos en busca de @thunder_lml para entrar al FIEEtonazo :c;Neutro
@franco.murga853 @rincon.verde.2001 aea;Neutro
@paulcruz.5, por ahi corrimos o erro? :'v;Neutro
@sandyqueen20, por ahi te perdias. xD;Neutro
@bautole como cuando salia al baño y terminaba dandome toda la vuelta por la U. 🤭😂;Positivo
Mi salida por las noches de la maestria. 😢;Positivo
@amorillocano @carla_mejiamorales @cristina.sarmiento.100046 😊😊;Positivo
@gabrengifo me has sacados los recuerdos mas bonitos de mi vida sanmarquina ❤️;Positivo
@elbabz caminando de la biblio a la puerta de la Venezuela. ❤️;Positivo
@elbabz 😍;Positivo
@anitaspordoquier los buenos tiempos :');Positivo
@jennyferchanga 💕;Positivo
@denilsonwcq  para ir a hacer las raid o recoger la caja meltan 😢;Neutro
@ben10alf alfrduuus!! Aquellos tiempos :( 😭😭😭😭😭;Positivo
@sil.vana_14 😢;Neutro
@sil.vana_14;Neutro
Claro, lo recuerdo , espero volver algun dia ...;Positivo
¡Que recuerdos! 😞;Positivo
Ufff cuantas veces recorri ese camino y cuantas otras me desvie del mismo jaja;Positivo
Uffff tantas veces, que buenos recuerdos!!! 😀;Positivo
❤️;Positivo
Este invierno no lo recorrimos 🥺🥺🥺🥺🥺🥺🥺 Ojala pronto 💚💛💗;Positivo
Como, no recordar..;Positivo
Fotazo;Positivo
recuerdos!!!;Positivo
��𝘰𝘸! 𝘘𝘶𝘦́ 𝘪𝘮𝘢𝘨𝘦𝘯! 𝘊𝘶𝘢𝘯𝘵𝘢 𝘯𝘰𝘴𝘵𝘢𝘭𝘨𝘪𝘢 𝘥𝘦 𝘮𝘪 𝘚𝘢𝘯 𝘔𝘢𝘳𝘤𝘰𝘴, 𝘥𝘦 𝘴𝘶𝘴 𝘢𝘶𝘭𝘢𝘴, 𝘥𝘦 𝘮𝘪𝘴 𝘢𝘮𝘪𝘨𝘰𝘴 𝘥𝘦 𝘭𝘢 𝘣𝘢𝘴𝘦 2000 😔;Positivo
��;Positivo
@elbabz ♥️;Neutro
@dbedoya16 un verano del 2008 y nosotros caminando por esa veredita de piedras ❤️;Positivo
Las noches de los sabados tenian su toque de suspenso 👻;Neutro
Esas noches que ya no se dan luego de salir de la central 😢😢 ...;Positivo
Siempre caminaba por alli yendo a mis clases;Positivo
��;Neutro
como me gustaria pasear en bicicleta dentro de la ciudad universitaria.;Positivo
@wendycotosc el.bosquecito 😍💜💙;Positivo
@ciyei27  amor 😢;Neutro
@jlimonxi jajjajaj te pasas;Positivo
Por ahi te escapabas @pattybedsa y @merly.chang;Neutro
Buenos recuerdos en el burrito. De hecho, cuando tenia 12 años mi hermano estudiaba en San Marcos y cuando el hablaba del burrito yo pensaba que literalmente un burrito los transportaba. No supe lo que era el burrito hasta 4 años despues;Positivo
@jose.chaucadelgado por ahi tendras fotos?;Positivo
@lucerovt8 jajajaja El burrito ❤️🔥;Positivo
@eduardoav16 😁;Positivo
��🤗;Positivo
❤️;Positivo
@wal_mosquera que postal con el  burro, hermano.;Positivo
@hrjeanpaul;Neutro
@shanty.va.segura preguntale si tiene fotos y nos las envias 😉;Neutro
@unmsm_ genial, le preguntare y si es asi las mando😃;Neutro
Mi mama me cuenta historias sobre el burro me encanta todo lo q me cuenta💕💕💕💕💕;Positivo
@hezer1212 de ciudad a Cangallo!!!!! Claro el mejor de los comedores;Positivo
Buenos momento, para ir a gusanear... En el burrito.;Positivo
Una vez lo hize;Neutro
@francocurottob same;Neutro
Cuando fui al simulacro de marzo entraron mas personas que el foro maximo, que hubiera pasado si alguno ya tenia el virus?;Negativo
Una vez de casualidad me subi pero me toco el de profesores y sinceramente prefiero subirme a los chinos en hora punta que a ese bus de “profesores” , que resulto ser gente mas arrogante y botada... encima que ganan sueldo les quitan la facilidad de subir a un bus a los estudiantes de poco recursos.;Negativo
��Cuantos recuerdos 🙌;Positivo
Inolvidables  viajes al interior de nuestro pais.;Positivo
Que lindos recuerdos mi burro de la av.  Grau;Positivo
Q lindo recuerdo!!!!!!😂😂😂;Positivo
❤❤❤;Positivo
En una oportunidad, tome el burrito cerca a San Fernando y, como era toda una hazaña subir, una compañera perdio uno de sus zapatos, y asi se fue hasta la Ciudad Universitaria. Nunca supe si recupero su zapato. Por el olorcito, creo que nadie oso en entregarselo.;Neutro
@100mostbeautifulfacespucp jajajajajaja;Positivo
Ese burro es @mario_oballe19;Negativo
Siempre me subia para ir a la biblioteca! 👏😍;Positivo
era fijo cuando iba a pie y entraba por la pta 0 xq tenia K ir a educacion que quedaba al otro lado de la ciudad, mayormente la hacia en bici K por cierto casi me estrello cara a cara con el burro en esa curva ciega del tunel K vi a toda la gente agarrarse fuerte por la frenada,,;Neutro
Mas de una vez pude regresar a casa gracias al burrito, pero nunca pude subirme a uno que me llevara a clases ¡Pasaban demasiado temprano! 🥺🥺;Negativo
@mory_16_12 ohh que sad uu 😭;Positivo
Mirenn chicaas @livery0215 @lisseth.st @laura.rs27 😊😢😢;Positivo
Y es el mismo burro creo 😂😂😂😂😂 ¡Que buenos tiempos!;Positivo
Recordar es volver a vivir, del paradero de los burros, al comedor de Cangallo. Dias bellos e inolvidables q todo buen sanmarquino esbozara una nostalgica sonrisa, pero con mucho amor, por los dias felices vividos.👍😉;Positivo
"El ""burro"" claro que subiamos con mis amigas para ir hasta la Av. Abancay, centro de Lima, que recuerdos 🙂";Positivo
Ahi toy!!!;Positivo
XQ LE LLAMAN «BURRO»?;Positivo
Esos son los Van Hall! Junto con los GM hasta ahora son los mejores vehiculos que la universidad ha tenido. Los de la UNA eran verde claro, pero jamas soportaron el trajin de los nuestros.;Neutro
Con esta pandemia el «burrito» esta en SUSPENCIoN PERFECTA!!!;Neutro
"@flavia_ch11 eres sanmarquina, recuerda, ""suspenSion"" . 😉🤝";Neutro
Tengo 13 años. No soy San Marquina. Gracias x la correccion!!! 👍;Positivo
@carlosalb3636 no podemos acceder al enlace, puedes compartirlo por mensaje interno, por favor.;Negativo
@unmsm_ ¿Por que le llaman «burro»?;Positivo
@flavia_ch11 por cargar en exceso pasajeros. A veces parecia que se iba a voltear cuando cogia curvas, como en Grau, Bolognesi, el cambio de Arica a Venezuela o la salida de la Ciudad, por Quimica 😬;Neutro
https://images.app.goo.gl/9eUueCmwhKLCRJB69;Neutro
@luisperaltab Hahahahaha 😎 conozco el pasado, el presente y el futuro, Adioz;Neutro
@jossel.chi que haces ahi? Eres una viajante del tiempo 😂;Neutro
Yo viaje en ellos, anecdotas muy queridas para mi. @gabx180487 @sarahralza9 mi hermosa adolescencia en mi alma mater UNMSM ♥️;Positivo
Hola alguien sabe cuando sera el examen de san marcos...por k nadie se pronuncia y pague mi derecho a examen;Negativo
❤️;Positivo
❤️;Positivo
@maria_ho99 lo que me contasteeee;Neutro
❤️;Positivo
Ahora es un nuevo autobus !!! 🙌❤️👏;Positivo
Para todo san marquino una experiencia inolvidable los viajes en el Burro;Positivo
Ese burro trae consigo infinitos recuerdos en cada alumno;Positivo
Subir al burro en Roosevelt era una hazaña, yo tomaba la 7 Lima Callao pero si queria ahorrar unos cobres tomaba el burro a unas cuadras, en Roosevelt, para ir a la ciudad universitaria.;Positivo
❤️;Positivo
❤️👏;Positivo
Y la burra tambien,  el paradero era al costado del Institu to Jose Pardo, que recuerdos tomar el burro en la Ciudad Universiraria y correr hacia el Comedor de Cangallo.;Positivo
Ja, ja,... entren que caben cien...;Positivo
UNMSM-MI ALMA MATER;Positivo
Conozco a varios de la foto, ahi esta el CHINO CHIA;Positivo
En el paradero de Derecho conoci hace 36 años, a la compañera que ahora es mi esposa.;Neutro
@rcatherinetf estara en lista;Positivo
@katherine_pillco03 @paolabergling anoten foto con el burrito en la lista de cosas por hacer antes de graduarnos 🥺;Positivo
��💪💪;Positivo
@cristel_libra;Neutro
@dilwaledulhaniya 🤭;Positivo
Bellos recuerdo de mi alma mater❤️;Positivo
@anthonygarriazo xD;Neutro
@milyherbozo y @edgardzeadiaz mira, son ustedes tomando el burrito;Neutro
@jchipanosky ¡Que monse!;Negativo
@guillermito.oficial otra facu pues papu 😉;Neutro
6 años de carrera y nunca me he subido 😅;Neutro
��;Neutro
UNMSM siempre con el pueblo y por el pueblo!;Positivo
San marcos la unica institucion educativa que forma profesionales con la etica y moral de hacer lo correcto . Y siempre lucho por el bien del Pais .  fuerza a la familia de los fallecidos 🙌;Positivo
��;Neutro
SanMarquitos❤️;Positivo
Condolencias a los compañeros.;Positivo
❤️;Positivo
Condolencias a los compañeros. <3 mucha fuerza a sus familiares.;Positivo
@o.magui.a;Neutro
��👏👏👏👏;Positivo
Mucha fuerza uu;Positivo
��🏼🙌🏼;Positivo
��👏👏;Positivo
Hay varios compañeros san marquinos heridos y desaparecidos que necesitan su apoyo!;Negativo
Justicia para ellos 🙌;Positivo
Condolencias a los familiares afectados, a los compañeros que fueron cruelmemte asesinados por hacer respetar sus derechos mi admiracion y respeto.;Positivo
��;Neutro
@maiteciruela;Neutro
��;Positivo
��😢😢😢😢😢❤️❤️❤️❤️;Positivo
Siempre adelante San Marcos ❤️ sigamos en la lucha 💪;Positivo
Mis màs profundas condolencias a loa familiares de estos jovenes heroes🙏🙏🙏;Positivo
��🏻;Positivo
��👏;Positivo
��;Neutro
Justicia para nuestros compañeros 🖤;Negativo
#fuerzaperu ✨🇵🇪✨;Neutro
San Marquinos siempre en la lucha!!🙌;Positivo
��;Neutro
UNMSM no hay duda que la educacion transforma, gracias por estos heroes ❤️;Positivo
❤️;Positivo
Todos somos peruanos y #sanmarcoseselperu 💪🏾🇵🇪🖤;Positivo
Me siento muy triste!;Neutro
��;Neutro
#siemprepresentes .#fuerzaperu#vigilia.;Neutro
Te amo Peru 🇵🇪 por eso te defiendo. UNMSM❤️;Positivo
Inti, Brayan jamas seran olvidados🇵🇪❤️🇵🇪 heroes del bicentenario;Positivo
��;Positivo
Orgullosamente de la UNMSM 🇵🇪🙏;Positivo
Orgullosamente de la UNMSM 🇵🇪🙏;Positivo
@estefany.espinoza21;Neutro
@licelicantu23;Neutro
Universidad DE TERRORISTAS....;Negativo
Mis condolencias a los familiares de estos heroes del bicentenario que hicieron respetar sus derechos 😢;Positivo
��;Neutro
❤️;Positivo
Pueden responder los telefonos sus anexos no sirven tengo meses llamando;Negativo
@josemanuelchaur 24 de mayo uu;Neutro
@_angiesald wtf...! Bueno, por suerte termino este mes :v;Neutro
En abril? Que mes empezara el ciclo 2021.1 en San Marcos?;Positivo
@lucero.yp 🥺♥️;Positivo
Al fin, que buena noticia;Positivo
@alondranicole_14 @claudia_ximena29 heyyy miren🥺🤞;Neutro
@luisahelen.14;Neutro
��;Positivo
Excelente.;Positivo
@apuntes_anguz se vienen tiempos dificiles;Neutro
@astudillo.vana Amen hermana 🤧;Positivo
@astudillo.vana;Neutro
@yessivillacorta @sandypatty0309;Neutro
@jackeline.frida15 💗;Positivo
@woodgate_18_f;Neutro
Asimismo se debio prevenir en el 2020, y no generar el desprestigio con las penosas imagenes/videos q luego luego salieron en todas las redes 😩;Negativo
@dante.pe 🙌🥳;Positivo
@madaivasquez1602 @paolavasquez1503 @karen.vasquez.75 si se puede! Vamos con todo 💪;Positivo
@sadfdafads;Neutro
WOW. Ni yo me habia dado cuenta 🤣❤;Positivo
@camilavricaldi posera;Negativo
Las inscripciones cuando sera.??;Positivo
@samir_e04;Neutro
@camilavricaldi con la fe;Neutro
@valentin.vela;Neutro
Que nervios!;Neutro
ESPERO QUE NO DIGAN A uLTIMO MOMENTO QUE EL EXAMEN SEA VIRTUAL:C;Negativo
Ojala no lleguen tarde 😒;Negativo
��👏;Positivo
Y las clases presenciales para cuando? 🤔😾;Negativo
@sebastoflo28;Neutro
@__cieloalcantara tranqui bbita nos merecemos un espacio ahi❤️;Positivo
@jazmin04._ ❤;Positivo
Por favor no se conviertan en asesinos. No ven ke estan poniendo en riesgo a muchos de nuestros familiares.. . Y como sabemos los jovenes son los principales vectores de dicho virus. Dejen de pensar solamente en la reactivacion de la economia.. Tomemos conciencia.;Negativo
Bebeeeee @angeles_jhosarely ❤️❤️;Positivo
¿Y como haran con los tramposos que ingresaron en setiembre? Seguro que si vuelven a dar examen miles no ingresaria.;Negativo
Uwu;Neutro
❤️;Positivo
Cuando empiezan las inscripciones?? @ilan_jesus  hermanito miraa;Positivo
Devuelvan la plata !!!!;Negativo
Mas informacion para poder  adquirir el prospecto, aun estando en provincia;Positivo
"¡Excelente""  Mi alma mater debe mantener siempre la rigurosa seleccion de las nuevas generaciones.";Positivo
Ojala no lo cambien a ultima hora cuando ya este pagado ☺;Negativo
A finales de abril? Esperaba que sea eneroo maximo marzo 🙄;Negativo
increible;Positivo
"Pero si el examen virtual fue un ""exito"" porque hacerlo presencial?😮";Negativo
@rogopereira;Neutro
@yulisaochante;Neutro
@kendall_henderson_jc;Neutro
ya era hora, xd;Positivo
Al fin algo sensato !!! El examen anterior dejo mucho de desear.  Los ingresantes de ese examen realmente no son dignos de ingresar a la San Marcos;Negativo
Debemos aprender ya a convivir con el virus, tengo la vision q recien todo el Peru restara vacunado recien a mediados del 2022;Neutro
Por favor si alguien me brinda informacion sobre la cepre 2021. Cuando empieza;Positivo
@olgacarlar traslado externo.;Neutro
@marielbalcazar13;Neutro
@andres_lh15;Neutro
@navaalexa otra vez no :(;Negativo
@stephannymu8;Neutro
En mayooo😮😮😮😮😮;Neutro
@arix.mori ya fuimos xd ☹;Neutro
@fabi_19_10 ya fue la vida uu. :c;Neutro
@a.n.d.r.e.aaaaaaaaaaaaa @fabi_19_10 😮🧐;Neutro
@sinfonia__agridulce;Neutro
Gracias a Dios🙌🙌🙌🙌;Positivo
@santos.flores18 😍;Positivo
@fiorella_lau23;Neutro
Super y cuanto son los costos y que se requiere;Positivo
@alinatembladera @guitembladera;Neutro
Las fechas de inscripcion para realizar el examen, cuando son?;Positivo
@ariana_villagaray 😨 15 por aula;Neutro
@adriana16599;Neutro
@camila_cp18 @julio_cesar_calixto 💕;Positivo
@sohe_enriquez 1 febrero;Neutro
@maritaby13 Graciasssssssssss;Positivo
LAS INSCRIPCIONES CUANDO SON?;Positivo
@yaneralexies;Neutro
@renato_garibay jajajaj no creo;Neutro
Habran universitarios que ayuden a los postulantes a llegar a su aula? 👀;Positivo
@yasmin.seto05;Neutro
@jazminbarreto29 en el estado encima 😮;Neutro
@doris_milagros03;Neutro
"""presencial"" xd";Neutro
@tania_lopezc;Neutro
@luzlareneg pordos, que alguien me explique!! Quiero postular a la UNMSM como pago mis inscripcion para mis examen? Tengo que pagar los dos? Inscripcion y examen!? Expliquenme pleaseee.;Positivo
La promocion 2020 tambien podra postular?;Positivo
@ariana148.ac pero el es un crack y si podra😎 @fernando_hv24;Positivo
@ariana148.ac Ya era hora, no era posible que con el examen virtual bajen el prestigio de la universidad ❤️;Negativo
@fernando_hv24 JAJAJAJAJ COMO HABLAS Y TU QUERIAS YA.;Neutro
Pobre mi cuchi😭❤️;Positivo
@rosa_alexandra21 recontra lista pa roperles el qlito a todos 7u7;Positivo
@diana.bravo09  estamos listas?;Neutro
@karenlvaldivia, 203 turno noche <3;Positivo
@jose.samaniego1 al menos dale like a tu salon;Neutro
Tarde, un examen virtual tarde!;Negativo
@tamaraserra_13;Neutro
Seguiran el mismo numero de vacantes o aumentara o disminuira, entraran nuevas personas a inscribirse?;Positivo
JAJAJJAJAJA JAJAJAJA;Positivo
Y las clases para cuando?;Neutro
Los que ibamos para el presencial del 2020-II podran postular esta vez?;Positivo
��👏👏👏;Positivo
@robertalexanderaricaflores;Neutro
��;Neutro
@unmsm_ @admision_unmsm quiero una respuesta a mi correo;Negativo
@andreaginett26;Neutro
@raizaalvarado2502;Neutro
@unatazadeteconlimon 🙌;Positivo
��👏👏 esoo vamos decana de America, sigan sigan forjando los profesionales del Peru.;Positivo
��Me parece buena medida;Positivo
@shiomaravalenzuela x3;Neutro
@shiomaravalenzuela x4;Neutro
@shiomaravalenzuela x5;Neutro
@shiomaravalenzuela x2;Neutro
Y para los que no pudieron dar el examen en marzo y no dieron el examen virtual??;Positivo
@dayhana.so sisisi c:;Positivo
@_maryori_es, con todo, menos miedo 🔥🔥🔥🔥🔥;Positivo
Para el examen de admision ? Para que fecha  porfavor;Positivo
Eso debieron hacer desde un inicio, y no una burla como el anterior proceso virtual -.-!;Positivo
@rkevin_05 ya lo vi uuu jajajaj❤️;Positivo
@mackey.st ♥️🤭;Positivo
@brayton321z;Neutro
La promocion 2020 tambien podra postular?;Positivo
@larissa.tam;Neutro
@angie.e20108;Neutro
@matiascs03;Neutro
@neilsanchezcamus;Neutro
��;Positivo
@valeriaahdjksa  @emilio_charles_07;Neutro
Eso debieron hacer desde un principio, ¿tanto les costaba esperarse y asi todos tener igualdad de condiciones? Me decepcionas San Marcos.;Negativo
@jorgeg.chavezmacedo;Neutro
Excelente;Positivo
@mauricio_pon.c las fechas estan en la ultima publicacion de @admision_unmsm;Neutro
Cuando??;Positivo
@rosa_alexandra21;Neutro
con todo o nada😎🤘;Positivo
@titopool.12;Neutro
En el Estadio?😱;Positivo
@xyannelfaniax;Neutro
@reef_vmx1 😂😂😂😂;Positivo
Virtual era la voz;Negativo
Que buena noticia;Positivo
@mariselaremigio PTM NO HABiA VISTO ESTO JAJXIANDJA;Neutro
@joselinmilagrosgalvezch;Neutro
@c.gerardoaburto x2;Neutro
@c.gerardoaburto 6 mil en el estadio,8 mil repartidos por las aulas;Neutro
Dicen 6,000 y luego dicen 8,000 , no entendi;Negativo
Y si no se dan las condiciones hasta abril cual es otra alternativa ??;Positivo
Llamaran a los que ibamos a apoyar el año pasado y que ya tenemos credenciales?;Positivo
FINALMENTE😌;Positivo
@esmeraldasimpe con todo,colegas 😊;Positivo
@esmeraldasimpe @emilygd01 las quiero ver en mi salon futuras abogadas 💯 🤧;Positivo
@emilygd01 @mib_jesus;Neutro
Al fin. Y no se pasen en eso de realizar examen de admision virtual y luego bajen el prestigio que tiene la universidad, que a muchos alumnos les a costado dejar en alto el nombre de la Decana de America. 👏;Negativo
con todo el sol asfddbnksdd;Negativo
@frankcasmosempai x2, sigo teniendo esa duda, no di mi examen en octubre y no se si podre entrar en ese grupo:(;Positivo
@scaaaar.let_  Ando en las mismas, en Octubre no di mi virtual;Positivo
@frankcasmosempai tu inscripcion es automatica, ya que elegiste a la llegada de tu examen de admision a algunxs compañeros ya les llego un correo informandoles eso, intenta comunicarte con la OCA;Neutro
Si voy a poder mi examen si he pagado y no he podido por virtual?✨;Positivo
@pierangelo_bc;Neutro
@jhoel.rojasc;Neutro
@rojasmary08;Neutro
@joseflores.rodriguez;Neutro
Buenas una consulta habra simulacros;Positivo
Cuanto cuesta la inscripcion?;Positivo
@marcelinotorrespaucar eso mismo opino, la segunda ola nos deja la incertidumbre;Positivo
@marcelinotorrespaucar llego la Cepa :'(;Neutro
Momento!... Ustedes afirman que va a ser presencial... Pero que pasa si se acerca la 2da ola de Covid?... No ilusionen a los estudiantes!;Negativo
Siempre debio ser asi;Negativo
Al fiiiin;Positivo
��👏👏;Positivo
��👏👏👏👏❤️;Positivo
��💪💪💪💪👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏 Felicidades a todos nosotros que pertenecemos a la familia Vallejiana ! 🤗;Positivo
��😍😍😍😍 Felicidades vallejito❤️🥂🎏🎊🎉;Positivo
Buenaa top topp;Positivo
Wa llorar ❤️;Positivo
❤️;Positivo
��💣Una bomba 🌍;Positivo
Una gran noticia 👏;Positivo
Excelente noticia, a seguir!;Positivo
Donde es el tono?;Positivo
Orgullosa de mi casa de estudios UCV;Positivo
All the way up! 👍☝💪📈😎;Positivo
Felicidades😍❤️;Positivo
��👏👏👏;Positivo
��🙌🙌🙌;Positivo
��la fiesta pa cuando ? Vallejo tienes que traer imitadores de Yo soy Bruno Mars 😍;Positivo
Bajen la pension;Negativo
Ya era hora. Despues de tanto tiempo :');Positivo
